# idA idB nx ny nz Fn uN cellDistX cellDistY cellDistZ
1119 4998 0.0586916 0.557584 -0.828043 -0.0177999 -1.07731e-06 0 0 0
3 5363 0.149746 -0.975836 -0.159124 -0.0140158 -1.1557e-06 0 0 0
2740 740 0.440441 0.01096 -0.897714 -0.00411706 -3.38213e-07 1 0 0
1119 5356 -0.0595904 0.42312 0.904112 -0.0492402 -3.65385e-06 0 0 0
3173 1548 0.0666207 -0.995965 0.0601345 -0.00471913 -4.01121e-07 0 0 0
2959 792 0.437967 -0.898473 0.0305097 -0.000337367 -3.08386e-08 0 0 0
2277 2110 0.814242 -0.575089 0.079257 -0.00962168 -7.67482e-07 0 0 0
1615 65 -0.0619572 0.184416 -0.980894 -0.0354989 -2.68854e-06 0 0 0
1491 367 0.383775 -0.687568 0.616415 -0.0164373 -1.52962e-06 0 0 0
4175 2350 0.166226 0.658643 0.733866 -0.00761408 -4.93194e-07 0 0 0
1314 262 0.982284 0.13505 -0.129921 -0.00471978 -4.19151e-07 0 0 0
878 3066 0.920543 0.34054 0.191398 -0.0211293 -1.37318e-06 0 0 0
3938 5123 0.476961 0.164042 -0.86348 -0.0111506 -7.67896e-07 0 0 0
1314 4406 0.251197 -0.920588 0.299027 -0.00176897 -1.47163e-07 0 0 0
1965 3622 0.80353 0.400084 0.440765 -0.0109046 -9.06138e-07 0 0 0
4030 1026 0.108285 0.110663 -0.987941 -0.0118601 -8.97438e-07 0 0 -1
2941 5392 0.0902708 -0.0416675 -0.995045 -0.016323 -1.19575e-06 0 0 0
2938 3911 -0.0205482 -0.0289601 -0.999369 -0.0295235 -2.48499e-06 0 0 0
1785 663 -0.0484045 0.388598 -0.920135 -0.0643802 -4.77355e-06 0 0 0
1686 4585 0.461031 -0.781037 -0.421227 -0.0218202 -2.07914e-06 0 0 0
3850 2924 0.937241 -0.150604 0.31448 -0.0096652 -5.5728e-07 1 0 0
703 3035 0.0772834 -0.0255594 -0.996681 -0.0123238 -1.05699e-06 0 0 0
1686 5259 0.474416 0.398123 -0.785129 -0.0356175 -2.41317e-06 0 0 0
3109 3390 0.450095 -0.278312 -0.848503 -0.0111935 -6.96965e-07 0 0 0
722 3876 0.392564 -0.90398 -0.169453 -0.00969667 -7.68211e-07 0 0 0
2397 1744 0.559949 -0.527268 -0.639097 -0.00802402 -6.44429e-07 0 0 0
722 1737 0.0295316 -0.25022 0.967738 -0.00961241 -6.84844e-07 0 0 0
164 4876 -0.309615 -0.162181 -0.936929 -0.0204237 -1.44262e-06 0 0 0
4055 601 0.186981 -0.978895 0.0824774 -0.00473959 -3.57419e-07 0 0 0
4110 1934 -0.195423 -0.21447 -0.956981 -0.0165665 -1.2527e-06 0 0 0
2812 4143 0.41632 -0.278154 0.865626 -0.0332854 -2.86466e-06 0 0 0
2853 3393 0.376805 -0.915897 0.138385 -0.00533877 -4.39737e-07 0 0 0
2583 4638 -0.217241 0.355589 -0.909045 -0.0111294 -9.10843e-07 0 0 0
4089 4908 0.653077 0.324272 0.684352 -0.00316141 -2.58585e-07 0 0 0
2397 5302 0.654072 0.531649 0.538089 -0.0071438 -5.89851e-07 -1 0 0
1087 2577 0.453221 0.891366 0.00760116 -0.01216 -8.96454e-07 0 0 0
2059 1803 0.0895374 -0.36462 -0.926841 -0.0575171 -4.42344e-06 0 0 0
3642 5374 0.720068 -0.44614 0.531471 -0.0108196 -9.10053e-07 1 0 0
4905 4814 0.698104 0.643565 -0.313806 -0.0130119 -8.89679e-07 1 0 0
3855 5356 0.544719 -0.628927 -0.554736 -0.0260576 -1.94667e-06 0 0 0
3080 1256 0.00371295 0.873626 -0.486583 -0.00826652 -5.5082e-07 0 0 0
1701 2292 0.16835 -0.054004 -0.984247 -0.0351895 -3.1762e-06 0 0 0
517 4143 0.457231 -0.498286 -0.736648 -0.0135153 -1.14237e-06 0 0 0
5071 1962 0.138819 0.329228 -0.93399 -0.00248057 -1.83717e-07 0 0 0
4291 3982 0.756602 -0.650754 0.0638123 -0.00355938 -2.72057e-07 0 0 0
1212 476 0.00657937 -0.0820956 -0.996603 -0.0105554 -7.25078e-07 0 0 0
1199 4927 -0.0645117 -0.856188 0.512622 -0.0128531 -1.09143e-06 0 0 0
4747 4998 0.407187 0.466451 0.785252 -0.0104075 -8.58346e-07 0 0 0
4747 3395 0.265741 0.496354 -0.826447 -0.00516018 -4.12175e-07 0 0 0
1795 5331 -0.791946 -0.457587 0.404272 -0.000978245 -7.13657e-08 0 0 0
3985 3804 0.655209 -0.699131 -0.286213 -0.00141238 -8.6294e-08 1 0 0
2246 430 0.983321 0.181877 0.00112089 -0.00632607 -4.56407e-07 1 0 0
5219 4944 0.433316 0.0756772 -0.898059 -0.0137347 -8.13178e-07 1 0 0
4643 4657 0.108102 -0.571073 -0.81375 -0.0220378 -1.57183e-06 0 0 0
960 3986 0.113183 0.341559 -0.93302 -0.0230607 -1.77683e-06 0 0 0
1499 1507 0.787467 -0.462462 -0.407461 -0.0305718 -2.62541e-06 1 0 0
4891 922 0.469829 0.0810575 -0.879028 -0.00691675 -5.13178e-07 0 0 0
988 1079 0.49369 -0.256895 0.830828 -0.00665543 -5.71616e-07 0 0 0
395 5344 0.442468 -0.132964 -0.886873 -0.020818 -1.54998e-06 0 0 0
1974 2132 0.156807 -0.817188 -0.55463 -0.000265953 -2.32073e-08 0 -1 0
498 2132 0.410154 0.430251 0.80415 -0.0124735 -7.52324e-07 0 0 0
988 1851 0.138206 -0.873801 -0.46623 -0.0212452 -1.77836e-06 0 0 0
241 2608 0.457142 -0.889357 -0.00811901 -0.0106795 -8.13777e-07 0 0 0
3047 1104 -0.663537 -0.0322728 -0.747447 -0.00295982 -2.68171e-07 0 0 0
4628 2661 0.142544 -0.945404 -0.293076 -0.00111285 -7.94517e-08 0 0 0
1243 2732 0.410981 -0.53156 -0.740633 -0.019292 -1.29225e-06 0 0 0
1365 4199 -0.341601 -0.112967 -0.933031 -0.0022825 -1.34348e-07 0 0 0
4643 2924 0.720592 0.614049 -0.322011 -0.00867299 -5.14805e-07 1 0 0
4121 4170 -0.0459298 0.09797 -0.994129 -0.0146859 -1.26573e-06 0 0 0
3783 3655 0.656489 -0.358614 -0.66364 -0.00864285 -6.45367e-07 0 0 0
2508 369 0.109578 0.660336 -0.742933 -0.0369095 -2.77482e-06 0 0 0
5331 42 -0.959498 0.263358 0.100031 -0.00291181 -2.25605e-07 0 0 0
4747 1226 0.437843 -0.885113 0.157699 -0.00678053 -5.39668e-07 0 0 0
4325 2883 -0.233203 0.542481 -0.807051 -0.00723434 -5.09223e-07 0 0 0
2817 2948 -0.967233 0.232859 0.101181 -0.000710267 -4.50939e-08 0 0 0
2500 3991 0.760777 -0.199739 -0.617513 -0.0264494 -2.31752e-06 0 0 0
1169 3918 -0.159537 0.300224 -0.940433 -0.00768365 -6.43707e-07 0 0 0
1057 1163 0.499312 -0.599611 -0.625423 -0.0131332 -7.27502e-07 0 0 0
4466 1225 0.209555 -0.97387 -0.0875395 -0.0200073 -1.43249e-06 0 0 0
347 1068 0.189127 -0.689373 -0.699283 -0.00459804 -4.24525e-07 0 0 0
2767 1401 0.117226 -0.992086 -0.0449765 -0.00229141 -1.51909e-07 0 0 0
1808 3592 0.0596149 -0.12875 -0.989884 -0.0262803 -2.03512e-06 0 0 -1
4242 3483 0.988915 -0.147519 -0.0168641 -0.00411108 -2.69896e-07 0 0 -1
1744 452 0.269681 0.951381 0.14882 -0.00123976 -9.01546e-08 0 0 0
1 3668 0.550338 0.0701158 0.831992 -0.0256837 -2.1171e-06 0 0 0
1683 963 0.705204 -0.675284 -0.216054 -0.00747076 -4.98727e-07 0 0 0
2359 2246 0.272086 0.506719 -0.81805 -0.00760485 -5.55677e-07 0 0 0
369 3705 0.339709 0.245962 -0.9078 -0.0455644 -3.60381e-06 0 0 0
5006 1974 -0.956158 0.287373 -0.0563859 -0.00182439 -1.48962e-07 -1 0 0
2457 3822 -0.265458 0.448544 -0.853429 -0.0103574 -9.10101e-07 0 0 0
3139 430 0.670446 -0.430617 -0.604211 -0.0113778 -8.0506e-07 0 0 0
3188 2554 0.249393 0.915776 0.314892 -0.00860984 -6.72987e-07 0 0 0
1198 5425 0.309116 -0.333779 -0.890527 -0.0130585 -1.17295e-06 0 0 0
3188 3642 0.167706 0.555198 -0.814635 -0.0196743 -1.75437e-06 0 0 0
3979 705 0.130536 0.368411 0.920453 -0.028467 -1.89005e-06 0 0 1
1923 4731 0.670912 -0.259228 -0.69475 -0.00759094 -6.30001e-07 0 0 0
1198 3377 0.757266 -0.401976 0.514746 -0.0137504 -1.18746e-06 0 0 0
2829 4274 -0.136757 -0.116566 -0.983723 -0.0101116 -8.64837e-07 0 0 0
1133 5185 0.308515 -0.120746 -0.943525 -0.0108767 -6.33016e-07 0 0 0
2732 317 0.379067 -0.846763 0.373231 -0.0140323 -1.11476e-06 1 0 0
3219 5516 0.319146 -0.0387471 -0.946913 -0.0207605 -1.73635e-06 0 0 0
2677 3665 0.559082 -0.382578 -0.735569 -0.00479704 -3.95057e-07 0 0 0
4248 4834 0.0974043 -0.992396 -0.0752462 -0.00975662 -7.78959e-07 0 0 0
4669 3365 0.557488 0.500363 0.662453 -0.0203664 -1.54251e-06 0 0 0
3666 2004 0.29139 -0.742656 0.602954 -0.00759247 -5.23638e-07 0 0 0
3495 4723 0.0767743 -0.747162 0.660193 -0.0304477 -2.51685e-06 0 0 0
3495 3309 0.100243 0.750974 -0.652679 -0.0296138 -2.08164e-06 0 0 0
3495 840 0.732589 -0.400987 -0.55002 -0.00749587 -5.53284e-07 0 0 0
3280 1242 -0.836411 -0.377414 0.397461 -0.00381371 -2.9614e-07 0 0 0
4271 5389 0.59381 -0.136612 -0.792923 -0.0211989 -1.59718e-06 0 -1 0
4271 1672 -0.129639 -0.305335 0.943379 -0.0206232 -1.52958e-06 0 -1 0
2312 1650 -0.937844 0.34655 -0.0187627 -0.000522069 -3.61083e-08 0 0 0
1243 4034 0.980606 0.0220454 0.194748 -0.0108078 -6.96256e-07 1 0 0
2955 5010 0.801411 -0.494326 0.336722 -0.0097698 -7.74396e-07 1 0 0
3292 1648 0.414416 0.270741 -0.868883 -0.0185922 -1.54562e-06 0 0 0
5344 1301 -0.107598 -0.983793 -0.143434 -0.00555174 -3.90832e-07 0 0 0
970 3144 0.677522 -0.612302 -0.407492 -0.000295333 -2.22579e-08 0 0 0
4114 3542 -0.611918 0.630243 0.47786 -0.00240567 -1.96462e-07 0 0 0
1737 3881 0.800644 -0.585769 -0.125876 -0.000725996 -5.14283e-08 0 0 0
3750 236 0.74399 0.296487 0.59881 -0.0101299 -9.56074e-07 1 0 0
5315 2174 -0.166224 -0.1031 -0.980683 -0.00290731 -2.25093e-07 0 0 0
498 2334 0.133176 -0.0709799 -0.988547 -0.00354229 -3.29375e-07 0 0 0
2266 2896 0.088471 0.993575 -0.0705808 -0.00174069 -1.04945e-07 0 0 0
3763 5519 0.556652 0.65081 -0.516318 -0.00423884 -2.94488e-07 0 0 0
860 4716 0.360577 0.420033 -0.8328 -0.0389571 -2.67295e-06 0 0 0
1329 5501 0.697809 -0.433537 -0.570182 -0.0109076 -8.30329e-07 0 0 0
3750 1800 0.251223 -0.713782 0.65376 -0.00834362 -7.15919e-07 0 0 0
3915 1495 0.774502 -0.561005 -0.292268 -0.0304475 -1.72509e-06 0 0 0
1558 2204 0.753792 0.394012 -0.525882 -0.00411868 -2.74534e-07 0 0 0
3915 3063 0.606527 0.634672 0.47887 -0.00670638 -6.35136e-07 0 0 0
3273 1093 0.62914 -0.50121 0.594114 -7.38562e-05 -5.06378e-09 1 0 0
3915 5137 0.100775 0.12217 0.98738 -0.0413917 -2.91731e-06 0 0 0
3750 648 0.81438 0.242303 -0.527327 -0.00145218 -1.26951e-07 0 0 0
2164 5363 0.182444 0.556985 0.810236 -0.00452714 -3.72584e-07 0 0 0
540 3666 -0.0517141 0.0136936 0.998568 -0.00549941 -4.19532e-07 0 0 0
5005 722 -0.279593 -0.504806 0.8167 -0.0107806 -8.66849e-07 0 0 0
196 5196 0.43856 -0.319106 -0.840141 -0.00276188 -1.78833e-07 0 0 0
3028 2029 -0.350422 -0.823421 0.446298 -0.00357899 -3.0329e-07 0 0 0
4616 2866 -0.15039 -0.0969473 -0.983862 -0.0160584 -1.35809e-06 0 0 0
4332 4576 0.229859 0.227608 -0.946234 -0.00331535 -2.62999e-07 0 0 0
4987 2501 0.541661 0.629647 -0.55691 -0.00209345 -1.35737e-07 0 0 0
3750 3069 0.460062 -0.774556 -0.434059 -0.00143055 -1.20357e-07 0 0 0
679 3189 -0.089313 -0.963855 -0.251013 -0.0159084 -1.24248e-06 0 0 0
3281 1542 0.170999 0.624714 -0.7619 -0.00765 -4.82359e-07 0 0 0
3658 4816 0.188264 0.306856 -0.93295 -0.0352563 -3.09694e-06 0 0 0
400 2573 0.862138 -0.452427 0.228098 -0.00574415 -4.68506e-07 1 0 0
395 5284 0.5419 0.77426 -0.326903 -0.00915654 -7.32328e-07 1 0 0
395 3083 0.713094 -0.700459 0.0292197 -0.00418109 -3.09715e-07 1 0 0
569 3666 0.341017 -0.815821 -0.467059 -0.00354541 -2.53526e-07 0 0 0
1119 1753 -0.0306487 -0.88723 -0.460308 -0.0187694 -1.02484e-06 0 0 0
4643 4360 0.501012 -0.613384 0.610531 -0.0122826 -1.12427e-06 1 0 0
3285 3104 0.153136 0.101763 -0.982951 -0.0381199 -3.06344e-06 0 0 0
2465 1885 -0.975807 0.217699 0.0201706 -0.00272466 -2.23516e-07 0 0 0
2266 5098 0.340377 -0.921705 0.18602 -0.00732328 -5.42155e-07 0 0 0
1910 1225 0.16908 0.698677 0.695171 -0.0285168 -2.19361e-06 0 0 0
1910 2812 0.0904605 -0.538581 0.837704 -0.0348626 -2.19763e-06 0 0 0
4010 976 0.319927 0.743518 -0.587221 -0.0170683 -1.15582e-06 0 0 0
4480 4367 0.0304701 0.991433 0.127015 -0.00591859 -4.10019e-07 0 0 0
1592 1856 0.421335 -0.887686 0.185717 -0.0198715 -1.52817e-06 0 -1 0
1910 2266 0.215108 0.318829 -0.92308 -0.02389 -1.5102e-06 0 0 0
4940 3803 0.405963 0.149265 0.901617 -0.0382079 -2.91026e-06 0 0 0
4940 3763 0.0660906 0.337217 -0.939104 -0.0181919 -1.41151e-06 0 0 0
2508 429 0.706159 0.424817 0.566454 -0.014036 -1.24556e-06 0 0 0
1748 3294 -0.902745 0.276241 0.32976 -0.0124526 -1.0564e-06 0 0 0
2125 4303 -0.231867 -0.174337 -0.956998 -0.0170588 -1.0938e-06 0 0 0
588 3476 -0.898117 0.17234 0.404581 -0.00840796 -7.47481e-07 0 0 0
471 3761 0.605022 0.794615 -0.0503595 -0.0286703 -1.93737e-06 0 0 0
5057 3982 0.0908462 -0.524904 0.846299 -0.00972646 -7.67406e-07 0 0 0
2627 3318 0.750885 -0.563632 0.344225 -0.00323499 -2.38832e-07 0 0 0
3327 2554 0.0780387 -0.773649 -0.62879 -0.00666712 -4.94458e-07 0 0 0
1818 3165 0.0264249 -0.842177 -0.538553 -0.0179906 -1.27066e-06 0 0 0
3327 4756 0.778161 0.355633 0.517678 -0.00356658 -2.98888e-07 1 0 1
2045 4184 -0.497242 -0.0892684 -0.863007 -0.0232031 -1.65518e-06 0 0 0
4378 4944 0.530582 -0.401726 0.74639 -0.00709906 -5.01751e-07 1 0 1
2812 2146 0.85961 -0.502438 0.0928738 -0.00677579 -5.49384e-07 0 0 0
586 5509 -0.91911 0.131307 0.371477 -0.0131408 -9.90003e-07 0 0 0
4356 5460 0.613754 -0.407498 -0.676204 -0.00532598 -4.23307e-07 0 0 0
2777 4643 0.535595 0.627475 -0.565167 -0.00123949 -1.19734e-07 0 0 -1
2446 4008 -0.306534 -0.192447 -0.932202 -0.0084843 -5.71283e-07 0 0 0
3402 2164 0.678685 0.458512 -0.573719 -0.00146443 -1.27602e-07 0 0 0
1648 4783 0.0555793 0.288485 -0.95587 -0.0223964 -2.00835e-06 0 0 0
2003 1301 0.528182 -0.198438 -0.825618 -0.0221332 -1.67278e-06 0 0 0
285 4157 0.874576 0.354291 0.33105 -0.00199449 -1.42515e-07 1 0 1
2487 778 0.901969 -0.371304 -0.22042 -0.00658718 -5.33275e-07 0 0 0
1119 1150 0.482245 -0.828686 0.284112 -0.0153366 -1.41892e-06 0 0 0
2116 3518 -0.872838 0.173866 -0.455988 -0.00725188 -5.44389e-07 0 0 0
1912 2504 0.382234 -0.834765 0.396314 -0.00291064 -2.31027e-07 0 0 0
3908 4720 0.497957 -0.858794 0.120464 -0.00978994 -6.95363e-07 1 0 0
3062 395 0.702494 -0.467277 0.536799 -0.00890142 -7.40552e-07 0 0 0
2350 4039 0.248593 0.810632 0.530168 -0.0043055 -3.33837e-07 0 0 0
349 5028 0.983705 0.179278 -0.0135666 -0.000416831 -3.26691e-08 1 0 0
3054 4040 -0.849657 -0.518599 -0.0955968 -0.00140717 -1.02657e-07 -1 0 0
5460 3598 0.828855 0.212603 -0.517493 -0.00872826 -7.06123e-07 0 0 0
2066 652 -0.0471066 -0.513558 -0.856761 -0.0132217 -1.11546e-06 0 0 0
2896 3765 -0.0178159 0.725082 0.688432 -0.000861293 -7.7283e-08 0 0 0
1777 1343 0.631171 -0.7491 -0.201178 -0.00496401 -3.15243e-07 0 0 0
3375 3982 0.285278 0.468179 -0.836316 -0.00827282 -6.6224e-07 0 0 0
5124 5437 -0.0217756 -0.134646 -0.990655 -0.00129621 -9.55153e-08 0 0 0
3982 1077 0.764382 -0.380406 0.520588 -0.0106136 -8.76159e-07 0 0 0
1069 4618 0.751415 -0.606955 -0.258808 -0.00988444 -7.23166e-07 0 0 0
4726 2596 -0.0812964 -0.33466 -0.938826 -0.01975 -1.50501e-06 0 0 0
792 2554 -0.117754 -0.768548 0.628862 -0.00350395 -2.93898e-07 0 0 0
4884 1499 0.913042 -0.403812 0.0573588 -0.00561096 -4.72888e-07 0 0 0
2327 652 0.0643018 0.916975 0.393728 -0.0122977 -9.38574e-07 0 0 0
5005 3360 0.511993 0.674123 -0.532373 -0.00433159 -3.47876e-07 0 0 0
1047 4678 0.51006 -0.272391 -0.815869 -0.0128365 -1.06988e-06 0 0 0
949 5169 0.649168 0.528977 0.546593 -0.00476878 -3.73563e-07 0 0 -1
3850 1648 -0.0198544 0.916964 -0.398476 -0.0029878 -1.78115e-07 0 0 0
949 1735 0.610784 -0.644518 0.459934 -0.00952217 -7.46503e-07 0 0 0
1181 834 -0.956242 0.0672912 -0.284733 -0.00677844 -4.69232e-07 0 0 0
285 1329 0.165502 -0.093437 -0.981773 -0.00918161 -6.37584e-07 0 0 0
3556 1413 0.618 0.0953989 -0.780368 -0.00612924 -5.3632e-07 0 0 0
395 2723 0.871083 0.176614 0.458282 -0.000688682 -5.30378e-08 1 0 0
3367 1092 0.777192 0.438544 0.451278 -0.0080595 -6.48923e-07 0 0 0
299 3790 0.259706 0.181157 -0.948544 -0.0127755 -7.91685e-07 0 0 -1
650 3642 0.129505 -0.172523 0.976455 -0.0254842 -2.15237e-06 0 0 0
3985 1711 0.456213 -0.0757295 0.886642 -0.0103607 -8.42368e-07 0 0 0
842 3876 0.520159 0.544989 0.657588 -0.00758504 -4.46706e-07 0 0 0
1652 2596 -0.995997 0.0751593 0.0483875 -0.00477803 -3.81293e-07 0 0 0
2490 1858 0.463487 -0.175664 -0.868517 -0.0112673 -9.40583e-07 0 0 0
2830 5013 -0.210045 -0.942613 -0.259543 -0.00902315 -5.93215e-07 0 0 0
1172 3395 0.466095 -0.80591 0.365055 -0.0107735 -8.07844e-07 0 0 0
36 1301 0.193613 0.549222 0.812939 -0.0140633 -1.0255e-06 0 0 0
36 3655 0.437889 0.631533 -0.639858 -0.0272024 -2.02948e-06 0 0 0
1172 4010 0.227622 0.720494 -0.65504 -0.0150749 -1.13211e-06 0 0 0
5185 1558 0.624954 -0.302755 0.719564 -0.00832051 -5.55585e-07 0 0 0
3935 3985 0.283623 -0.905874 -0.314564 -0.00108453 -6.9686e-08 0 0 0
1024 5218 0.538331 0.37314 0.755623 -0.012275 -7.58734e-07 1 0 0
3668 3945 0.84202 -0.518999 -0.147112 -0.0148977 -1.09359e-06 1 0 0
2381 1406 0.456213 -0.227445 -0.860313 -0.00448643 -3.38255e-07 0 0 0
3929 3304 -0.235338 -0.964188 -0.122298 -0.00491438 -3.58492e-07 0 0 0
4175 1753 0.64439 0.750079 -0.148803 -0.00125264 -7.41583e-08 0 0 0
2164 3623 0.832368 -0.288256 -0.473362 -0.00136724 -1.23336e-07 1 0 0
5240 3206 0.884142 0.445373 0.141193 -0.00902391 -7.59504e-07 1 1 0
1301 4929 0.645549 -0.681562 0.344587 -0.00349713 -2.97581e-07 1 0 0
2482 4545 0.344972 -0.481445 0.805733 -0.0215897 -1.46474e-06 0 0 0
122 262 0.567604 -0.81975 -0.0763888 -0.00201017 -1.71719e-07 0 0 0
1225 3249 0.489342 0.480981 0.727463 -0.0224673 -1.82913e-06 0 0 0
2882 3027 -0.925639 -0.367142 0.0916441 -0.000748967 -6.00159e-08 0 -1 0
4271 4810 0.994844 0.0713324 0.0720975 -0.00743991 -5.92888e-07 1 0 0
4010 3737 0.646319 0.473753 0.598189 -0.017193 -1.39233e-06 0 0 0
722 888 0.804279 0.349259 0.480784 -0.0139112 -1.04377e-06 1 0 0
5356 2177 0.273448 0.642446 -0.715884 -0.0122722 -8.69038e-07 0 0 0
4436 2949 0.818507 -0.4419 -0.367112 -0.0116385 -1.04705e-06 1 0 0
1853 2956 0.126444 0.778554 0.614708 -0.0110748 -9.83835e-07 0 0 0
3803 3660 0.776609 0.303139 0.552255 -0.0333203 -1.95755e-06 1 0 0
2242 4987 0.400666 0.0133829 0.916126 -0.0369757 -3.09142e-06 0 0 0
3783 1301 0.417522 -0.457193 0.785271 -0.00672981 -4.93417e-07 0 0 0
846 557 0.0406828 -0.536814 -0.842719 -0.00790664 -6.39185e-07 0 0 0
3765 343 0.874164 0.465146 -0.139557 -0.00567818 -5.38738e-07 0 0 0
792 3803 0.145369 0.686723 -0.712235 -0.00496918 -2.87528e-07 0 0 0
1102 1066 -0.908169 0.223047 -0.35423 -0.00593442 -4.31627e-07 0 0 0
2091 3481 -0.116492 0.274909 -0.954387 -0.00792581 -6.26364e-07 0 0 0
2971 4149 0.908003 0.411505 -0.0787081 -0.00230809 -1.53609e-07 1 0 0
1793 3663 0.119838 -0.960383 0.2516 -0.000487076 -4.10649e-08 0 0 0
2886 3298 0.9019 0.00314607 0.431934 -0.00935555 -7.20224e-07 0 0 0
1818 3948 0.728645 -0.0590972 0.682338 -0.00655719 -5.36988e-07 0 0 0
1084 4442 0.413001 -0.586977 -0.69634 -0.0073754 -5.73102e-07 0 0 0
999 1314 0.393594 -0.723044 0.567707 -0.0039173 -3.29413e-07 0 0 0
3296 1945 0.69937 -0.282073 -0.656747 -0.00417445 -3.92096e-07 1 0 0
4249 4723 0.613703 0.768718 -0.180113 -0.043039 -3.3965e-06 0 0 0
4277 2624 0.446785 -0.123033 -0.886141 -0.0109334 -8.24186e-07 0 0 0
5456 303 -0.79248 -0.290057 0.53651 -0.00980943 -7.49124e-07 0 0 0
3556 3991 0.771975 -0.408155 0.487304 -0.00601688 -4.97051e-07 0 0 0
2455 2006 0.290879 -0.140162 -0.946438 -0.00944614 -6.65664e-07 0 0 0
2130 4230 0.728081 0.678006 0.101021 -0.0107062 -8.05732e-07 0 0 0
1910 2725 0.844678 0.535269 -0.00250029 -0.000195041 -1.27168e-08 0 0 0
3080 2732 0.509744 -0.273315 0.815757 -0.0141137 -8.73745e-07 0 0 0
3340 2425 0.423469 0.178483 -0.888154 -0.0195047 -1.12233e-06 0 0 0
1753 4545 -0.130915 -0.756759 -0.640451 -0.0311448 -2.18561e-06 0 0 0
1753 1150 0.521049 0.210284 0.827217 -0.0159853 -1.46678e-06 0 0 0
2677 3655 0.875044 0.15541 0.458417 -0.00119368 -1.01052e-07 0 0 0
4709 3705 0.181325 0.739047 0.648792 -0.00206416 -1.77094e-07 0 0 0
122 3365 0.0568454 0.844246 -0.532933 -0.00463046 -3.96332e-07 0 0 0
2482 1343 0.735056 0.201948 -0.647233 -0.00953651 -5.54977e-07 0 0 0
803 1402 -0.906828 -0.341936 -0.24646 -0.0102188 -8.07589e-07 0 0 0
1401 946 -0.505329 0.347223 -0.789986 -0.0118591 -7.47081e-07 0 0 0
3296 3665 0.241642 0.66806 0.703779 -0.0284022 -2.27908e-06 0 1 0
3296 3 0.132471 -0.428942 0.893566 -0.0191748 -1.85172e-06 0 0 0
1301 1727 0.925739 0.264817 0.269963 -0.0133929 -9.62548e-07 1 0 0
3399 705 0.148839 -0.891899 0.42704 -0.0134224 -1.03131e-06 -1 0 1
569 3817 0.761198 0.12849 -0.635664 -0.0052422 -3.99228e-07 0 0 0
3433 3990 -0.354507 0.312218 -0.881388 -0.0113734 -9.56553e-07 0 0 0
3979 3668 0.250423 -0.264545 -0.931292 -0.0284559 -2.10828e-06 0 0 0
2343 188 0.152915 0.629135 -0.762107 -0.0137555 -9.58855e-07 0 0 0
4449 3327 0.205829 -0.911424 -0.356288 -0.00453229 -3.68336e-07 0 0 -1
429 2491 0.206609 0.37907 -0.902008 -0.00268643 -1.93027e-07 0 0 0
1302 36 0.807933 0.548935 -0.214277 -0.0150448 -1.24754e-06 0 1 0
943 1637 -0.29572 -0.00755514 -0.955245 -0.0008686 -7.20303e-08 0 0 0
740 1075 0.0667466 -0.987263 0.144422 -0.00485629 -4.09665e-07 0 0 0
653 3900 -0.995741 0.0671003 -0.0632294 -0.00230455 -1.84868e-07 0 0 1
