# idA idB nx ny nz Fn uN cellDistX cellDistY cellDistZ
1119 4998 0.104573 0.551545 -0.827564 -0.0254974 -1.54318e-06 0 0 0
3 5363 0.375293 -0.919928 -0.113526 -0.0206476 -1.70253e-06 0 0 0
3783 36 0.178968 -0.983835 -0.00628515 -0.00681173 -4.88307e-07 0 0 0
1119 5356 0.0452316 0.389725 0.91982 -0.0283702 -2.1052e-06 0 0 0
3173 1548 0.113847 -0.988998 0.0944606 -0.0144528 -1.22847e-06 0 0 0
2540 1577 -0.873771 -0.374536 0.310236 -0.000161941 -1.06069e-08 0 0 0
2277 2110 0.797436 -0.582841 0.156178 -0.0243711 -1.94399e-06 0 0 0
1615 65 -0.100815 0.131423 -0.986187 -0.0293652 -2.224e-06 0 0 0
1491 367 0.355952 -0.735217 0.576849 -0.000248249 -2.31015e-08 0 0 0
4175 2350 0.0817157 0.676437 0.731953 -0.00553436 -3.58482e-07 0 0 0
1314 262 0.975079 0.196532 -0.102943 -0.00708398 -6.29109e-07 0 0 0
878 3066 0.914618 0.390591 0.104464 -0.0137206 -8.91693e-07 0 0 0
4470 1744 0.185457 0.716968 -0.671984 -0.00066536 -4.59429e-08 0 0 0
1314 4406 0.136307 -0.874658 0.465182 -0.00476601 -3.96491e-07 0 0 0
1965 3622 0.813253 0.418344 0.404485 -0.0136531 -1.13453e-06 0 0 0
4030 1026 0.0521251 -0.0135889 -0.998548 -0.0109056 -8.2521e-07 0 0 -1
3109 3390 0.339712 -0.328433 -0.881321 -0.00526281 -3.27207e-07 0 0 0
2938 3911 -0.0657226 0.109585 -0.991802 -0.0169213 -1.42426e-06 0 0 0
252 3316 -0.0744845 -0.807635 -0.584959 -0.00681096 -5.02841e-07 0 0 0
1686 4585 0.552818 -0.760906 -0.339727 -0.0126177 -1.20227e-06 0 0 0
4072 2169 0.818758 0.543363 0.185452 -0.00850075 -7.91414e-07 0 0 0
703 3035 0.17909 -0.174683 -0.968201 -0.00540758 -4.63798e-07 0 0 0
1686 5259 0.494419 0.367756 -0.787595 -0.0396785 -2.68832e-06 0 0 0
3936 3627 0.977556 0.196424 -0.0761688 -0.00327084 -2.84832e-07 0 0 0
722 3876 0.384183 -0.88311 -0.269295 -0.0123075 -9.75049e-07 0 0 0
2397 1744 0.50734 -0.509187 -0.695223 -0.0287868 -2.31194e-06 0 0 0
722 1737 0.0175895 0.0437564 0.998887 -0.0055455 -3.93854e-07 0 0 0
1198 2806 0.726273 0.430502 -0.535906 -0.00148852 -1.00291e-07 0 0 0
2896 3765 -0.0122513 0.615063 0.788383 -0.0106743 -9.55126e-07 0 0 0
2812 4147 0.836137 0.189159 -0.514873 -0.0145065 -1.18257e-06 0 0 0
2812 4143 0.409383 -0.290647 0.86483 -0.0193976 -1.66943e-06 0 0 0
2896 2929 0.949718 -0.165436 0.265833 -0.0025751 -1.62167e-07 1 0 0
2583 4638 -0.258685 0.264491 -0.929046 -0.0172454 -1.41138e-06 0 0 0
4089 4908 0.577515 0.34594 0.739461 -0.00679065 -5.55435e-07 0 0 0
1087 3204 0.646753 0.0549366 -0.760719 -0.0288859 -2.06582e-06 1 0 -1
1087 2577 0.497061 0.8672 0.0299035 -0.00524168 -3.86426e-07 0 0 0
2059 1803 0.135945 -0.297019 -0.945145 -0.00341819 -2.62881e-07 0 0 0
3642 5374 0.705352 -0.398227 0.586424 -0.0149227 -1.25517e-06 1 0 0
4905 4814 0.647619 0.596428 -0.474197 -0.0280872 -1.92045e-06 1 0 0
3855 5356 0.448764 -0.641645 -0.622015 -0.02044 -1.527e-06 0 0 0
3080 1256 0.0361083 0.87036 -0.49109 -0.00955475 -6.36658e-07 0 0 0
