# idA idB nx ny nz Fn uN cellDistX cellDistY cellDistZ
1119 4998 0.116544 0.571509 -0.812278 -0.0213625 -1.29292e-06 0 0 0
3 5363 0.440483 -0.897361 -0.0267865 -0.0223967 -1.84675e-06 0 0 0
3783 36 0.115649 -0.993167 -0.0156299 -0.0206652 -1.48141e-06 0 0 0
1119 5356 0.0483712 0.379405 0.923966 -0.0174063 -1.29162e-06 0 0 0
3173 1548 0.0997923 -0.993434 0.0559435 -0.0015776 -1.34095e-07 0 0 0
3783 2291 0.376142 0.592582 -0.712295 -0.00632467 -5.19679e-07 0 0 0
2277 2110 0.819224 -0.564372 0.101767 -0.0124288 -9.91396e-07 0 0 0
3783 2299 0.982296 0.186992 0.0113625 -0.00274289 -2.21595e-07 1 0 0
2277 4716 0.459132 0.870658 0.176502 -0.00472556 -3.51383e-07 0 0 0
4175 2350 0.0486334 0.663089 0.746959 -5.79231e-05 -3.75191e-09 0 0 0
1314 262 0.976235 0.184645 -0.113455 -0.00987208 -8.76713e-07 0 0 0
878 3066 0.899193 0.415176 0.13813 -0.0109059 -7.0877e-07 0 0 0
2266 5098 0.380854 -0.91862 0.105296 -0.00435751 -3.22576e-07 0 0 0
1314 4406 0.0952221 -0.846544 0.523732 -0.00918132 -7.63807e-07 0 0 0
1965 3622 0.805663 0.423203 0.414495 -0.0171352 -1.42388e-06 0 0 0
3109 2042 0.695532 0.625012 0.354393 -0.00455127 -2.84586e-07 0 0 0
3109 3390 0.324268 -0.297009 -0.898129 -0.0142969 -8.88888e-07 0 0 0
2938 3911 -0.0247517 0.12947 -0.991274 -0.0182618 -1.5371e-06 0 0 0
252 3316 -0.0641999 -0.811299 -0.581095 -0.00472889 -3.49125e-07 0 0 0
1686 4585 0.61785 -0.710867 -0.33605 -0.0152146 -1.44972e-06 0 0 0
4072 2169 0.820318 0.538384 0.192928 -0.00897049 -8.35147e-07 0 0 0
5344 1727 0.762824 -0.643882 0.0593008 -0.000663063 -4.55902e-08 1 0 0
1172 1459 0.876779 -0.286752 -0.386046 -0.00100261 -8.24804e-08 0 0 0
3642 4230 0.493355 -0.381549 -0.781678 -0.00331951 -2.63157e-07 0 0 0
722 3876 0.355509 -0.878817 -0.318268 -0.0159501 -1.26363e-06 0 0 0
2397 1744 0.519167 -0.503474 -0.690637 -0.0139224 -1.11814e-06 0 0 0
722 1737 -0.000197571 0.0620568 0.998073 -0.015734 -1.11746e-06 0 0 0
18 1897 0.711152 0.178813 0.679918 -0.000187219 -1.46367e-08 0 0 0
2896 3765 0.0114565 0.615943 0.787707 -0.0121462 -1.08683e-06 0 0 0
2812 4147 0.834404 0.188434 -0.51794 -0.0172372 -1.40518e-06 0 0 0
2812 4143 0.413299 -0.293913 0.861858 -0.0298812 -2.57169e-06 0 0 0
2896 2929 0.940557 -0.121134 0.317299 -0.00961468 -6.05485e-07 1 0 0
2583 4638 -0.234858 0.249694 -0.939412 -0.000651084 -5.32855e-08 0 0 0
2308 1343 0.845145 -0.164217 0.508687 -0.00518428 -4.72233e-07 0 0 0
1087 3204 0.672977 0.057834 -0.737399 -0.0173008 -1.2373e-06 1 0 -1
1087 2577 0.497622 0.867391 -0.00231326 -0.00189707 -1.39855e-07 0 0 0
498 2334 0.162845 -0.0418367 -0.985764 -0.00849084 -7.89508e-07 0 0 0
3642 5374 0.691914 -0.396118 0.60361 -0.0233834 -1.9668e-06 1 0 0
4905 4814 0.619402 0.575364 -0.534132 -0.0289089 -1.97663e-06 1 0 0
4905 1507 0.633818 -0.522396 0.570418 -0.00204396 -1.39921e-07 1 -1 0
3296 3948 0.537041 -0.833499 -0.129872 -0.00107598 -9.48017e-08 0 0 0
1701 2292 0.0780649 0.150366 -0.985543 -0.00248044 -2.23884e-07 0 0 0
517 4143 0.331183 -0.131569 -0.934349 -0.00827776 -6.99668e-07 0 0 0
5137 3991 0.679598 0.658136 0.324043 -0.0248735 -1.67038e-06 0 0 0
4242 1323 0.476889 -0.00481682 0.878951 -0.00125189 -7.79181e-08 0 0 0
1212 476 0.0708552 -0.073772 -0.994755 -0.00325541 -2.23623e-07 0 0 0
4678 4929 0.905969 0.165827 -0.389515 -0.00372826 -3.13341e-07 1 0 0
4747 4998 0.294595 0.337145 0.894174 -0.0289669 -2.38902e-06 0 0 0
4747 3395 0.300812 0.267565 -0.91538 -0.0255735 -2.04271e-06 0 0 0
4747 1226 0.501758 -0.854808 -0.13245 -0.00377958 -3.00627e-07 0 0 0
3985 3804 0.683759 -0.629063 -0.369803 -0.01168 -7.13628e-07 1 0 0
2246 430 0.97854 0.199357 -0.0521175 -0.0165628 -1.19496e-06 1 0 0
5219 4944 0.414989 0.074678 -0.906757 -0.0339663 -2.01101e-06 1 0 0
4643 4657 0.0656198 -0.480513 -0.874529 -0.0046178 -3.2936e-07 0 0 0
3188 5374 0.956044 0.167644 -0.240571 -0.00144786 -1.13668e-07 1 0 0
1499 1507 0.807205 -0.443871 -0.389098 -0.00837288 -7.19038e-07 1 0 0
4752 2692 0.164744 -0.986039 -0.0242311 -0.0109882 -9.32646e-07 0 0 0
988 1079 0.513053 -0.240533 0.823966 -0.0200731 -1.72402e-06 0 0 0
2397 5302 0.537152 0.604565 0.588191 -0.00687291 -5.67484e-07 -1 0 0
395 2723 0.788298 0.213276 0.577147 -0.00498496 -3.83921e-07 1 0 0
498 2132 0.403893 0.395788 0.824756 -0.0120182 -7.24864e-07 0 0 0
988 1851 0.374005 -0.738649 -0.560818 -0.021379 -1.78956e-06 0 0 0
241 2608 0.401655 -0.913668 0.0623195 -0.000802321 -6.1137e-08 0 0 0
4657 2436 0.290886 0.792159 -0.536534 -0.00691118 -5.24933e-07 0 0 0
1243 3801 0.348457 0.569327 -0.74461 -0.00531302 -3.67142e-07 0 0 0
1243 2732 0.34293 -0.508061 -0.790109 -0.012219 -8.18478e-07 0 0 0
2397 1456 0.752413 -0.442934 0.487529 -0.00719984 -5.24095e-07 0 0 0
4643 2924 0.746557 0.559375 -0.360211 -0.00242942 -1.44204e-07 1 0 0
4404 5149 0.451213 0.846755 0.281801 -0.00822347 -6.59787e-07 1 1 0
3783 3655 0.522028 -0.411013 -0.747365 -0.0127752 -9.53929e-07 0 0 0
2246 4337 0.589747 -0.617651 0.520294 -0.00257471 -1.7135e-07 1 0 0
2959 792 0.400661 -0.914508 0.0560801 -0.0026423 -2.41533e-07 0 0 0
3354 2365 -0.968109 -0.12626 -0.216386 -0.00144053 -9.97365e-08 0 0 0
372 317 0.666537 -0.351026 -0.657654 -0.000600473 -4.60342e-08 1 0 0
1923 1756 0.887294 -0.384951 0.254013 -0.00340349 -2.31146e-07 1 0 0
2500 3991 0.790278 -0.224359 -0.570196 -0.0117125 -1.02626e-06 0 0 0
3642 1457 0.463776 0.636275 -0.616495 -0.000855704 -6.02054e-08 0 0 0
5356 2177 0.336842 0.702597 -0.626813 -0.00415631 -2.94323e-07 0 0 0
672 1413 0.576399 -0.409518 0.707149 -0.0122997 -1.01238e-06 0 0 0
1777 1343 0.619875 -0.77494 -0.123378 -0.00153208 -9.72952e-08 0 0 0
2767 1401 0.0162473 -0.998164 0.0583439 -0.0164858 -1.09293e-06 0 0 0
4378 4944 0.473852 -0.398951 0.785049 -0.0101757 -7.1917e-07 1 0 1
2266 2896 0.0927994 0.950264 -0.297299 -0.0117995 -7.11258e-07 0 0 0
4378 4526 0.467561 0.84241 -0.26783 -0.00947993 -7.47911e-07 0 0 0
1 3668 0.456219 0.138725 0.878988 -0.00564711 -4.65491e-07 0 0 0
3367 3113 0.415719 -0.838603 -0.352025 -0.00564306 -4.05276e-07 0 0 0
2359 2246 0.352102 0.488113 -0.798605 -0.00765179 -5.59107e-07 0 0 0
3188 3797 0.411589 -0.498455 -0.762979 -0.000914205 -7.11122e-08 0 0 0
4728 860 0.432714 0.874161 0.220457 -0.00999461 -6.8718e-07 0 0 0
