# idA idB nx ny nz Fn uN cellDistX cellDistY cellDistZ
1119 4998 0.0870432 0.546971 -0.832614 -0.0107479 -6.50497e-07 0 0 0
3 5363 0.190501 -0.968792 -0.158595 -0.0187238 -1.5439e-06 0 0 0
2740 740 0.420315 0.0308313 -0.906854 -0.00194341 -1.5965e-07 1 0 0
1119 5356 -0.014525 0.419829 0.907487 -0.0321963 -2.38912e-06 0 0 0
3173 1548 0.103793 -0.991992 0.0719667 -0.00618458 -5.25683e-07 0 0 0
285 4157 0.878412 0.324692 0.350668 -0.00377117 -2.69467e-07 1 0 1
2277 2110 0.798156 -0.598841 0.0658488 -0.00454419 -3.62471e-07 0 0 0
1615 65 -0.077295 0.194574 -0.977838 -0.0376277 -2.84977e-06 0 0 0
1491 367 0.365308 -0.686368 0.628848 -0.00949485 -8.83568e-07 0 0 0
4175 2350 0.150742 0.667492 0.729199 -0.0135201 -8.75748e-07 0 0 0
1314 262 0.976849 0.139974 -0.161783 -0.00454891 -4.03977e-07 0 0 0
878 3066 0.919003 0.346406 0.188247 -0.0175338 -1.13951e-06 0 0 0
3938 5123 0.461026 0.170766 -0.870801 -0.012497 -8.60619e-07 0 0 0
1314 4406 0.229502 -0.913211 0.336712 -0.00229106 -1.90596e-07 0 0 0
1965 3622 0.795561 0.383142 0.469344 -0.00330154 -2.74349e-07 0 0 0
4030 1026 0.114291 0.100013 -0.9884 -0.0101422 -7.67442e-07 0 0 -1
2941 5392 0.0988313 -0.0395885 -0.994316 -0.0175746 -1.28743e-06 0 0 0
2938 3911 -0.0188795 -0.0107953 -0.999763 -0.027989 -2.35583e-06 0 0 0
1785 663 -0.0374148 0.385733 -0.921851 -0.0358489 -2.65806e-06 0 0 0
1686 4585 0.469549 -0.78299 -0.407983 -0.0218701 -2.08389e-06 0 0 0
4072 2169 0.809582 0.557377 0.184143 -0.00167145 -1.55611e-07 0 0 0
703 3035 0.108382 -0.0451166 -0.993085 -0.0213228 -1.82882e-06 0 0 0
1686 5259 0.483282 0.385646 -0.785949 -0.0265257 -1.79718e-06 0 0 0
3109 3390 0.430913 -0.278162 -0.858452 -0.0106927 -6.65781e-07 0 0 0
722 3876 0.423757 -0.888278 -0.177179 -0.0147939 -1.17204e-06 0 0 0
2397 1744 0.5443 -0.540979 -0.641155 -0.0122682 -9.85288e-07 0 0 0
722 1737 0.00744578 -0.171177 0.985212 -0.00655284 -4.66863e-07 0 0 0
164 4876 -0.312355 -0.156216 -0.937033 -0.0251003 -1.77295e-06 0 0 0
4055 601 0.185181 -0.977705 0.0989972 -0.00161546 -1.21824e-07 0 0 0
4110 1934 -0.241745 -0.201698 -0.949145 -0.0151273 -1.14387e-06 0 0 0
2812 4143 0.409457 -0.25937 0.874684 -0.0231967 -1.99639e-06 0 0 0
2853 3393 0.368783 -0.922031 0.117719 -0.00800154 -6.5906e-07 0 0 0
2583 4638 -0.212175 0.3503 -0.912289 -0.011567 -9.46656e-07 0 0 0
4089 4908 0.639261 0.329681 0.694735 -0.00417423 -3.41427e-07 0 0 0
1087 3204 0.603107 0.0606311 -0.795353 -0.00307209 -2.19706e-07 1 0 -1
1087 2577 0.469321 0.882981 -0.00906017 -0.0107383 -7.91649e-07 0 0 0
2059 1803 0.091739 -0.358368 -0.929062 -0.0531004 -4.08377e-06 0 0 0
3642 5374 0.711028 -0.439863 0.548598 -0.00655422 -5.51284e-07 1 0 0
4905 4814 0.664695 0.652132 -0.364559 -0.0218559 -1.49439e-06 1 0 0
3855 5356 0.528907 -0.63482 -0.56326 -0.015639 -1.16834e-06 0 0 0
3080 1256 0.0395822 0.864479 -0.501107 -0.0191634 -1.27691e-06 0 0 0
1701 2292 0.164654 -0.0146974 -0.986242 -0.041776 -3.7707e-06 0 0 0
517 4143 0.427613 -0.458952 -0.778787 -0.00831914 -7.03166e-07 0 0 0
1198 2806 0.764818 0.393103 -0.510415 -0.00368905 -2.48554e-07 0 0 0
4291 3982 0.738134 -0.670895 0.0711245 -0.00309415 -2.36498e-07 0 0 0
1212 476 0.0342946 -0.0871754 -0.995602 -0.0178745 -1.22785e-06 0 0 0
1199 4927 -0.0609984 -0.853698 0.517184 -0.0165502 -1.40538e-06 0 0 0
4747 4998 0.390448 0.462696 0.795904 -0.0156242 -1.28859e-06 0 0 0
4747 3395 0.264825 0.49501 -0.827546 -0.00937165 -7.48571e-07 0 0 0
1795 5331 -0.771662 -0.473335 0.424844 -0.00213778 -1.55957e-07 0 0 0
3985 3804 0.67563 -0.676486 -0.293071 -0.0114182 -6.97632e-07 1 0 0
2246 430 0.985293 0.170083 -0.0164009 -0.00874947 -6.31249e-07 1 0 0
5219 4944 0.420143 0.0526983 -0.905926 -0.0236985 -1.40309e-06 1 0 0
4643 4657 0.129478 -0.553362 -0.822816 -0.010203 -7.27722e-07 0 0 0
960 3986 0.159517 0.335731 -0.928353 -0.0213529 -1.64524e-06 0 0 0
1499 1507 0.801775 -0.43094 -0.414062 -0.0261848 -2.24867e-06 1 0 0
4752 2692 0.149603 -0.988711 0.0083025 -0.00122273 -1.03782e-07 0 0 0
988 1079 0.50644 -0.229553 0.831158 -0.0107611 -9.2424e-07 0 0 0
395 5344 0.436353 -0.125014 -0.891049 -0.00935979 -6.9687e-07 0 0 0
1974 2132 0.249324 -0.811181 -0.528983 -0.000426899 -3.72516e-08 0 -1 0
498 2132 0.433528 0.430185 0.79183 -0.0144767 -8.73145e-07 0 0 0
988 1851 0.144891 -0.876704 -0.45869 -0.0164663 -1.37834e-06 0 0 0
241 2608 0.44258 -0.896687 0.00871237 -0.0106116 -8.08608e-07 0 0 0
3047 1104 -0.639435 -0.0433703 -0.767621 -0.00086575 -7.84403e-08 0 0 0
4628 2661 0.127809 -0.953933 -0.271435 -0.0070317 -5.02025e-07 0 0 0
1243 2732 0.38915 -0.54446 -0.743052 -0.0128787 -8.62663e-07 0 0 0
1365 4199 -0.324346 -0.138215 -0.935787 -0.00982541 -5.78326e-07 0 0 0
4643 2924 0.726144 0.599942 -0.335833 -0.0148668 -8.82455e-07 1 0 0
2959 792 0.423054 -0.905507 0.0329089 -0.00265135 -2.42361e-07 0 0 0
3783 3655 0.635352 -0.364388 -0.680844 -0.0163966 -1.22435e-06 0 0 0
2508 369 0.150027 0.612716 -0.775932 -0.0302118 -2.2713e-06 0 0 0
5331 42 -0.948549 0.304604 0.0864329 -0.0105198 -8.15065e-07 0 0 0
4747 1226 0.453001 -0.879393 0.146489 -0.00306685 -2.44093e-07 0 0 0
2487 778 0.918578 -0.33216 -0.214207 -0.000104912 -8.49348e-09 0 0 0
1923 1756 0.847914 -0.472565 0.240259 -0.00694832 -4.71891e-07 1 0 0
