# idA idB nx ny nz Fn uN cellDistX cellDistY cellDistZ
1119 4998 0.141384 0.562411 -0.814681 -0.00744191 -4.50407e-07 0 0 0
3 5363 0.48804 -0.871699 0.044252 -0.0194699 -1.60542e-06 0 0 0
3783 36 0.131975 -0.989567 0.0577897 -0.0133597 -9.57708e-07 0 0 0
1119 5356 0.0685594 0.354782 0.932432 -0.00882393 -6.54776e-07 0 0 0
1119 1753 0.146445 -0.858487 -0.491481 -0.00333031 -1.81841e-07 0 0 0
3783 2291 0.410159 0.57267 -0.709802 -0.00730426 -6.00169e-07 0 0 0
2277 2110 0.847255 -0.521168 0.102676 -0.0129658 -1.03423e-06 0 0 0
3783 2299 0.984205 0.172264 0.0408243 -0.00273206 -2.2072e-07 1 0 0
2277 4716 0.465 0.87382 0.142174 -0.0077942 -5.79561e-07 0 0 0
878 3801 0.288641 -0.861885 0.416943 -0.00344794 -2.3014e-07 0 0 0
1314 262 0.95943 0.2636 -0.100042 -0.00675643 -6.0002e-07 0 0 0
878 3066 0.88515 0.423845 0.192005 -0.00736577 -4.78698e-07 0 0 0
1314 122 0.199644 0.975403 0.0934438 -0.000923884 -7.43899e-08 0 0 0
1314 4406 0.0933235 -0.819593 0.565295 -0.0129708 -1.07906e-06 0 0 0
843 3918 0.902718 0.102308 0.41789 -0.00477834 -3.51412e-07 0 0 0
3109 2042 0.684207 0.640906 0.347993 -0.00551222 -3.44673e-07 0 0 0
3109 3390 0.368028 -0.233741 -0.899956 -0.0125205 -7.78444e-07 0 0 0
1737 888 0.695954 0.480477 -0.533658 -0.00463682 -3.33755e-07 1 0 0
1737 3881 0.640703 -0.685565 -0.345688 -0.00965751 -6.83281e-07 0 0 0
1686 4585 0.634425 -0.696706 -0.334824 -0.00166465 -1.58616e-07 0 0 0
4072 2169 0.793255 0.569215 0.216196 -0.00733887 -6.83244e-07 0 0 0
1737 3195 0.878542 0.102734 0.466487 -0.000321606 -2.67373e-08 1 0 0
722 888 0.736645 0.542171 0.404233 -0.00194799 -1.46056e-07 1 0 0
3642 4230 0.468373 -0.341936 -0.814682 -0.00790187 -6.26427e-07 0 0 0
722 3876 0.377056 -0.859059 -0.346189 -0.00722914 -5.72723e-07 0 0 0
2397 1744 0.533349 -0.5227 -0.665074 -0.0217915 -1.75013e-06 0 0 0
722 1737 0.0342403 0.0591413 0.997662 -0.0188338 -1.33762e-06 0 0 0
2812 2146 0.830759 -0.556433 0.0149067 -0.0119167 -9.64349e-07 0 0 0
2896 3765 -0.00373842 0.655899 0.754839 -0.00968004 -8.66161e-07 0 0 0
2812 4147 0.837654 0.192311 -0.511227 -0.00437117 -3.56339e-07 0 0 0
2812 4143 0.418024 -0.282548 0.863379 -0.01505 -1.29526e-06 0 0 0
2896 2929 0.938991 -0.136633 0.315638 -0.00754118 -4.74906e-07 1 0 0
1087 3728 0.911562 -0.400138 0.0945711 -0.0131694 -9.3289e-07 1 0 0
959 2741 0.466559 0.880255 -0.086451 -0.000360145 -3.39783e-08 0 0 0
1087 3204 0.639653 0.061106 -0.766231 -0.00572469 -4.09411e-07 1 0 -1
1087 2577 0.505096 0.86282 0.0204558 -0.0073518 -5.41988e-07 0 0 0
959 2550 0.907925 -0.102934 0.406297 -0.00263277 -2.13746e-07 0 0 0
3642 5374 0.675875 -0.37977 0.631639 -0.0167363 -1.40771e-06 1 0 0
4905 4814 0.598073 0.604791 -0.525868 -0.0384841 -2.63133e-06 1 0 0
4905 1507 0.601528 -0.462933 0.651043 -0.0234553 -1.60565e-06 1 -1 0
3642 1457 0.431222 0.660702 -0.614426 -0.010016 -7.03285e-07 0 0 0
3642 3797 0.194893 -0.960474 0.198764 -0.00464566 -4.18141e-07 0 0 0
517 4143 0.35044 -0.088252 -0.932418 -0.00625021 -5.28292e-07 0 0 0
5137 3991 0.662036 0.669507 0.336851 -0.0176723 -1.18678e-06 0 0 0
517 1720 0.523293 -0.653732 0.546626 -0.00408702 -3.56746e-07 0 0 0
517 1495 0.654083 0.665925 -0.358775 -0.00640546 -4.5611e-07 0 0 0
4678 4929 0.885206 0.238531 -0.399392 -0.0133508 -1.12206e-06 1 0 0
4747 4998 0.286566 0.286146 0.914331 -0.0185231 -1.52768e-06 0 0 0
4747 3395 0.270871 0.204167 -0.940715 -0.00487968 -3.8977e-07 0 0 0
4747 1226 0.50309 -0.847462 -0.169434 -0.0108986 -8.66875e-07 0 0 0
5137 2169 0.663642 -0.592454 0.456704 -0.000892093 -6.35235e-08 0 0 0
2246 430 0.981693 0.185264 -0.0442253 -0.018468 -1.33241e-06 1 0 0
5219 4944 0.388334 0.108548 -0.915103 -0.0241299 -1.42863e-06 1 0 0
2246 4337 0.596698 -0.614432 0.516163 -0.00698377 -4.64082e-07 1 0 0
5219 740 0.715438 0.507186 0.480531 -0.00107159 -9.30595e-08 1 0 0
5219 1075 0.757528 -0.41504 0.503877 -0.00340764 -2.17827e-07 1 0 0
2246 3360 0.388893 -0.821677 -0.416665 -0.00696416 -5.12739e-07 0 0 0
988 1079 0.515823 -0.226387 0.826242 -0.00597677 -5.13327e-07 0 0 0
498 2334 0.163533 -0.0476237 -0.985388 -0.00891344 -8.27048e-07 0 0 0
498 4618 0.267558 -0.67736 0.685271 -0.00180626 -1.27475e-07 0 0 0
498 2132 0.3841 0.375644 0.843421 -0.00921445 -5.55758e-07 0 0 0
988 1851 0.40062 -0.726338 -0.558513 -0.0230404 -1.92863e-06 0 0 0
1243 4034 0.94117 -0.0116821 0.337731 -0.00567942 -3.65637e-07 1 0 0
4657 2436 0.315089 0.754879 -0.575219 -0.00163215 -1.23968e-07 0 0 0
1243 3801 0.386968 0.548442 -0.741261 -0.0107541 -7.43131e-07 0 0 0
1243 2732 0.331513 -0.508681 -0.794571 -0.0128313 -8.59488e-07 0 0 0
4643 2640 0.916979 0.0766116 0.391509 -0.0105531 -9.16688e-07 1 0 0
4643 2924 0.764578 0.516582 -0.385439 -0.0109352 -6.49082e-07 1 0 0
4426 1749 0.350747 -0.834113 0.425714 -0.00614995 -4.20493e-07 0 0 0
3783 3655 0.543722 -0.454927 -0.705271 -0.00287127 -2.144e-07 0 0 0
369 1958 0.832788 -0.469105 -0.293947 -0.0115472 -8.96752e-07 0 0 0
2397 1672 0.0671659 0.969366 -0.236259 -0.000513927 -3.73494e-08 -1 0 0
369 3705 0.364906 0.213831 -0.906157 -0.0121538 -9.61277e-07 0 0 0
2381 1406 0.420811 -0.174526 -0.890202 -0.00340843 -2.56935e-07 0 0 0
2381 1542 0.156535 -0.0337835 0.987094 -0.00908487 -7.12419e-07 0 0 0
2500 3991 0.819844 -0.160358 -0.549674 -0.00757758 -6.63955e-07 0 0 0
372 2509 0.894404 -0.350297 0.278087 -0.00528587 -3.47056e-07 1 0 0
672 3672 0.942962 0.331685 -0.0284294 -0.0027935 -2.05484e-07 0 0 0
672 1413 0.619009 -0.417502 0.665221 -0.0153205 -1.26101e-06 0 0 0
1777 1343 0.624979 -0.772485 -0.112551 -0.00456005 -2.89587e-07 0 0 0
1777 1226 0.501921 -0.0126215 0.864821 -0.0028112 -1.76601e-07 0 0 0
