# idA idB nx ny nz Fn uN cellDistX cellDistY cellDistZ
1119 4998 0.0570352 0.554634 -0.830137 -0.0193855 -1.17327e-06 0 0 0
3 5363 0.150585 -0.978832 -0.13861 -0.00647608 -5.33995e-07 0 0 0
2740 740 0.452328 0.019563 -0.891637 -0.00167433 -1.37544e-07 1 0 0
1119 5356 -0.0617751 0.415806 0.907353 -0.0220764 -1.63817e-06 0 0 0
3173 1548 0.0742669 -0.994161 0.0782875 -0.00738533 -6.27745e-07 0 0 0
2959 792 0.405558 -0.913736 0.0246746 -0.0031863 -2.91261e-07 0 0 0
2277 2110 0.816986 -0.572696 0.0674815 -0.0123117 -9.8205e-07 0 0 0
1615 65 -0.059682 0.172301 -0.983235 -0.0145426 -1.1014e-06 0 0 0
1491 367 0.359492 -0.699673 0.617433 -0.00535064 -4.97918e-07 0 0 0
4175 2350 0.156135 0.662522 0.732589 -0.00949994 -6.15348e-07 0 0 0
1314 262 0.984161 0.121997 -0.128621 -0.00190416 -1.69104e-07 0 0 0
878 3066 0.92612 0.334136 0.175086 -0.0155949 -1.01351e-06 0 0 0
3938 5123 0.51855 0.14092 -0.843355 -0.00150057 -1.03338e-07 0 0 0
1314 4406 0.255647 -0.91552 0.310592 -0.00291028 -2.4211e-07 0 0 0
1965 3622 0.790667 0.404246 0.459816 -0.0112596 -9.35638e-07 0 0 0
4030 1026 0.103921 0.0997401 -0.989572 -0.00273088 -2.06642e-07 0 0 -1
5047 1119 0.496212 -0.846438 0.193174 -0.00797522 -7.39246e-07 0 0 0
2938 3911 -0.0407809 -0.0277527 -0.998783 -0.0210242 -1.76961e-06 0 0 0
1785 663 -0.0465213 0.378147 -0.924576 -0.0224192 -1.6623e-06 0 0 0
1686 4585 0.476676 -0.766451 -0.430503 -0.022767 -2.16935e-06 0 0 0
3850 2924 0.933541 -0.137344 0.331116 -0.0122281 -7.05054e-07 1 0 0
703 3035 0.0636794 -0.0049158 -0.997958 -0.0116433 -9.98625e-07 0 0 0
1686 5259 0.461973 0.39396 -0.794592 -0.0206338 -1.39799e-06 0 0 0
3109 3390 0.443486 -0.274935 -0.853072 -0.0109916 -6.8439e-07 0 0 0
722 3876 0.402669 -0.899891 -0.167494 -0.0161901 -1.28264e-06 0 0 0
2397 1744 0.557482 -0.522399 -0.645223 -0.00797959 -6.40861e-07 0 0 0
1459 2042 0.186642 -0.397931 -0.898229 -0.000252382 -2.26526e-08 0 0 0
164 4876 -0.296585 -0.158588 -0.941747 -0.0106778 -7.54226e-07 0 0 0
1817 4184 -0.976839 0.182184 0.112224 -0.00832638 -6.15538e-07 0 0 0
2971 4034 0.567317 -0.74052 -0.360251 -0.000517799 -3.50575e-08 1 0 0
2812 4143 0.422265 -0.272317 0.864602 -0.0225439 -1.94021e-06 0 0 0
2853 3393 0.359075 -0.924246 0.12975 -0.0105905 -8.72303e-07 0 0 0
2583 4638 -0.219308 0.344171 -0.912935 -0.00828081 -6.77712e-07 0 0 0
4089 4908 0.650624 0.321427 0.688021 -0.00301578 -2.46673e-07 0 0 0
2397 5302 0.65244 0.53053 0.541165 -0.00249862 -2.06307e-07 -1 0 0
1087 2577 0.451852 0.892093 0.000467166 -0.0121119 -8.92913e-07 0 0 0
2059 1803 0.0887448 -0.353817 -0.931095 -0.0304481 -2.34166e-06 0 0 0
3642 5374 0.70764 -0.448777 0.545752 -0.00603464 -5.07582e-07 1 0 0
4905 4814 0.690385 0.649532 -0.318554 -0.0161142 -1.1018e-06 1 0 0
3855 5356 0.543553 -0.624446 -0.560908 -0.0151034 -1.12832e-06 0 0 0
3080 1256 0.0251156 0.875934 -0.481778 -0.00515013 -3.43166e-07 0 0 0
1701 2292 0.160619 -0.0515844 -0.985668 -0.00838901 -7.57191e-07 0 0 0
517 4143 0.464237 -0.491031 -0.737138 -0.0103748 -8.76917e-07 0 0 0
5005 1655 0.887645 -0.336747 0.314147 -0.00822396 -6.56513e-07 0 0 0
4291 3982 0.776251 -0.628039 0.0547879 -0.0058964 -4.50684e-07 0 0 0
4958 5303 0.130357 0.965079 0.227223 -0.000683178 -4.93628e-08 0 0 0
1199 4927 -0.0620648 -0.863821 0.499961 -0.0144256 -1.22497e-06 0 0 0
