# idA idB nx ny nz Fn uN cellDistX cellDistY cellDistZ
1119 4998 0.14072 0.561617 -0.815343 -0.00397876 -2.40807e-07 0 0 0
3 5363 0.488065 -0.871285 0.0515215 -0.016486 -1.35938e-06 0 0 0
3783 36 0.134061 -0.9891 0.060896 -0.0163016 -1.1686e-06 0 0 0
1119 5356 0.0689862 0.353037 0.933063 -0.00493059 -3.65872e-07 0 0 0
1119 1753 0.145857 -0.85912 -0.490549 -0.00181634 -9.91753e-08 0 0 0
3783 2291 0.412785 0.572461 -0.708447 -0.0104343 -8.57357e-07 0 0 0
2277 2110 0.847529 -0.520847 0.102041 -0.0147721 -1.17831e-06 0 0 0
3783 2299 0.984346 0.170783 0.0435389 -0.000697132 -5.63204e-08 1 0 0
2277 4716 0.465751 0.873733 0.140234 -0.00899214 -6.68638e-07 0 0 0
878 3801 0.287213 -0.860172 0.421441 -0.00668154 -4.45974e-07 0 0 0
1314 262 0.959913 0.262131 -0.0992652 -0.00678534 -6.02588e-07 0 0 0
878 3066 0.882174 0.425629 0.201518 -0.00800804 -5.20439e-07 0 0 0
1314 122 0.202748 0.97399 0.101181 -0.00119726 -9.63597e-08 0 0 0
1314 4406 0.09546 -0.812624 0.574917 -0.0142952 -1.18924e-06 0 0 0
843 3918 0.902649 0.100733 0.418423 -0.00394052 -2.89797e-07 0 0 0
3109 2042 0.686887 0.63862 0.346915 -0.00461898 -2.88819e-07 0 0 0
3109 3390 0.368907 -0.232383 -0.899948 -0.00964791 -5.99844e-07 0 0 0
1737 888 0.693713 0.48156 -0.535596 -0.00782502 -5.63239e-07 1 0 0
1737 3881 0.638628 -0.686542 -0.347583 -0.00937158 -6.63051e-07 0 0 0
1686 4585 0.637217 -0.692373 -0.338488 -0.00313903 -2.99102e-07 0 0 0
4072 2169 0.789303 0.572911 0.220848 -0.00914927 -8.51791e-07 0 0 0
1737 3195 0.876484 0.10281 0.470325 -0.000291706 -2.42514e-08 1 0 0
722 888 0.736549 0.543518 0.402597 -0.000867416 -6.50371e-08 1 0 0
3642 4230 0.465046 -0.343235 -0.81604 -0.00314052 -2.48967e-07 0 0 0
722 3876 0.377468 -0.85827 -0.347693 -0.00698298 -5.53221e-07 0 0 0
2397 1744 0.533156 -0.522973 -0.665014 -0.0180916 -1.45298e-06 0 0 0
722 1737 0.0371237 0.0598147 0.997519 -0.0175958 -1.24969e-06 0 0 0
2812 2146 0.830006 -0.557666 0.00996262 -0.0123469 -9.99165e-07 0 0 0
2896 3765 -0.00463356 0.662365 0.749167 -0.0090974 -8.14028e-07 0 0 0
2896 3824 0.571542 -0.620054 -0.537468 -0.00356007 -2.42317e-07 0 0 0
2812 4143 0.418008 -0.278664 0.864648 -0.0146861 -1.26394e-06 0 0 0
2896 2929 0.941024 -0.142218 0.306999 -0.00374365 -2.35756e-07 1 0 0
1087 3728 0.910654 -0.401672 0.0967915 -0.0107628 -7.62406e-07 1 0 0
959 2741 0.467763 0.879557 -0.087051 -0.000157419 -1.48519e-08 0 0 0
1087 3204 0.639866 0.0612664 -0.76604 -0.00801131 -5.72942e-07 1 0 -1
1087 2577 0.507456 0.861361 0.0233706 -0.0105922 -7.80876e-07 0 0 0
959 2550 0.90815 -0.10269 0.405855 -0.00107002 -8.6871e-08 0 0 0
3642 5374 0.675015 -0.378461 0.633342 -0.0148291 -1.24729e-06 1 0 0
4905 4814 0.596171 0.607824 -0.524528 -0.0390062 -2.66703e-06 1 0 0
4905 1507 0.597475 -0.456403 0.659333 -0.0213712 -1.46298e-06 1 -1 0
3642 1457 0.429284 0.660684 -0.615802 -0.0116277 -8.1645e-07 0 0 0
3642 3797 0.194035 -0.960229 0.200776 -0.00865238 -7.78773e-07 0 0 0
517 4143 0.3489 -0.086489 -0.93316 -0.00535432 -4.52567e-07 0 0 0
5137 3991 0.663247 0.667315 0.338814 -0.012985 -8.72008e-07 0 0 0
517 1720 0.525322 -0.652243 0.546458 -0.00381812 -3.33274e-07 0 0 0
517 1495 0.652149 0.667532 -0.359308 -0.005727 -4.07799e-07 0 0 0
4678 4929 0.885105 0.236789 -0.40065 -0.0127542 -1.07193e-06 1 0 0
4747 4998 0.288151 0.284229 0.914431 -0.0148707 -1.22645e-06 0 0 0
4747 3395 0.270079 0.204456 -0.94088 -0.00674696 -5.3892e-07 0 0 0
4747 1226 0.504757 -0.845643 -0.173518 -0.00694739 -5.52594e-07 0 0 0
5137 2169 0.667916 -0.588883 0.455087 -0.00212913 -1.5161e-07 0 0 0
2246 430 0.981515 0.186205 -0.0442284 -0.0188855 -1.36253e-06 1 0 0
5219 4944 0.388895 0.11121 -0.914545 -0.0236024 -1.3974e-06 1 0 0
2246 4337 0.598827 -0.611691 0.516953 -0.00835204 -5.55006e-07 1 0 0
5219 740 0.71332 0.510802 0.47985 -9.54433e-05 -8.28855e-09 1 0 0
5219 1075 0.757655 -0.412804 0.505522 -0.00279513 -1.78674e-07 1 0 0
2246 3360 0.391725 -0.820572 -0.41619 -0.00487107 -3.58635e-07 0 0 0
988 1079 0.51608 -0.225978 0.826193 -0.00807258 -6.9333e-07 0 0 0
498 2334 0.165951 -0.051642 -0.984781 -0.0104377 -9.68483e-07 0 0 0
498 4618 0.261222 -0.675064 0.689965 -0.00399135 -2.81686e-07 0 0 0
498 2132 0.380012 0.368909 0.848232 -0.00696359 -4.2e-07 0 0 0
988 1851 0.40286 -0.725777 -0.557631 -0.0195806 -1.63902e-06 0 0 0
1243 4034 0.940261 -0.016725 0.340042 -0.00566847 -3.64932e-07 1 0 0
4657 2436 0.326845 0.745406 -0.580983 -0.00231613 -1.7592e-07 0 0 0
1243 3801 0.387532 0.543627 -0.744506 -0.0110312 -7.62281e-07 0 0 0
1243 2732 0.32982 -0.510293 -0.794242 -0.0116325 -7.79186e-07 0 0 0
4643 2640 0.916729 0.0771737 0.391984 -0.00870611 -7.56252e-07 1 0 0
4643 2924 0.76559 0.514294 -0.386488 -0.0132433 -7.86085e-07 1 0 0
4426 1749 0.350384 -0.833794 0.426637 -0.0113525 -7.76209e-07 0 0 0
