# **S.energy	elast	eps_norm	eps_x	eps_y	eps_z	gradVWork	i	kinetic	nonviscDamp	plast	q	sigM	sig_norm	sig_x	sig_y	sig_z	step	t	unbE	unbF
nan	7.02625818341e-05	0.00165930269039	-8.01058108199e-05	0.000284196208003	-0.00163281995111	-2.18741500589e-05	2500	5.4814101503e-10	4.73104220283e-06	6.92468192155e-06	-9837.21519341	-53632.0842849	93240.2588035	-50354.5670847	-50349.9034917	-60191.7822782	0	0.00163478758233	7.80132185186e-06	nan
nan	6.99514395613e-05	0.00172955914588	-4.18423617036e-05	0.000325486490342	-0.0016981409248	-2.18531593988e-05	2600	7.63739190695e-10	4.73237970613e-06	7.22002159448e-06	-10164.1843291	-53426.3079558	92907.4208781	-50028.5745874	-50057.5903635	-60192.7589165	0	0.00170021752068	1.0918134001e-05	nan
nan	7.0247351719e-05	0.00179816891068	-2.63025477623e-05	0.000350635510747	-0.00176345522934	-2.24091043096e-05	2700	5.48853402524e-10	4.73364527108e-06	7.46645033951e-06	-10432.9862429	-53510.534624	93072.8917961	-50026.4598066	-50045.6980158	-60459.4460495	0	0.00176564506971	7.8131543623e-06	nan
nan	7.12312036563e-05	0.00186329065981	-2.93056511386e-05	0.000355833152273	-0.00182876352476	-2.35021749642e-05	2800	5.26296880014e-10	4.73436027443e-06	7.58150613208e-06	-10745.6262421	-53935.0474806	93829.5805135	-50355.1787471	-50349.1587055	-61100.8049892	0	0.00183107087304	7.38857204427e-06	nan
nan	7.10461207113e-05	0.00193467135613	3.49464694471e-06	0.000394276533914	-0.00189406627615	-2.36134637229e-05	2900	6.95962413504e-10	4.73568798288e-06	7.88601217921e-06	-11036.6586471	-53795.0167758	93610.1174662	-50113.2914407	-50121.808799	-61149.9500878	0	0.00189649539799	9.7959242044e-06	nan
nan	7.10394430274e-05	0.0020056599793	2.85806018134e-05	0.00042749542952	-0.00195936284529	-2.39343382152e-05	3000	5.64169396532e-10	4.73741301698e-06	8.20052137049e-06	-11288.6749239	-53733.7483657	93524.0964827	-49964.3505408	-49983.8690916	-61253.0254647	0	0.0019619180156	7.941635977e-06	nan
nan	7.20873831159e-05	0.00206991686162	2.36135760423e-05	0.000429858364868	-0.0020246530565	-2.51141686392e-05	3100	5.2144681634e-10	4.738270726e-06	8.33432632055e-06	-11579.9089592	-54183.3677083	94323.3658485	-50322.9291703	-50324.3358251	-61902.8381294	0	0.00202733854456	7.23353787862e-06	nan
nan	7.20831426377e-05	0.00214082600401	4.95107793159e-05	0.00046134626501	-0.0020899388235	-2.54368767142e-05	3200	1.13345997541e-09	4.73972473827e-06	8.67016913956e-06	-11818.5248225	-54122.3470597	94237.0983153	-50175.5058	-50197.5047565	-61994.0306225	0	0.00209275888095	1.57243418355e-05	nan
nan	7.18220765044e-05	0.00221420850942	7.86709361535e-05	0.000501553529752	-0.00215522023557	-2.56110616449e-05	3300	6.61853810438e-10	4.74251699464e-06	9.09497166675e-06	-11992.1295876	-53937.358742	93932.5988581	-49929.2383653	-49961.4699078	-61921.3679529	0	0.00215817913221	9.21518623034e-06	nan
nan	7.28461225094e-05	0.00227881305968	7.15344686291e-05	0.000507225177057	-0.00222049417935	-2.67902803968e-05	3400	3.73223717592e-10	4.74379212482e-06	9.2481972333e-06	-12258.3933293	-54371.3606226	94704.6376541	-50287.4724852	-50280.7435681	-62545.8658145	0	0.00222359620987	5.12345344865e-06	nan
nan	7.30958810761e-05	0.0023490072821	9.1017644394e-05	0.000533703917085	-0.00228576270173	-2.72882199684e-05	3500	5.35337174368e-10	4.74490796133e-06	9.50700024111e-06	-12531.533595	-54434.298531	94836.7576225	-50258.6816307	-50253.9987365	-62790.2152257	0	0.00228901211288	7.32376662662e-06	nan
nan	7.26310569925e-05	0.00242448540482	0.000128423188768	0.000578202139685	-0.0023510251484	-2.72936041272e-05	3600	6.81564166627e-10	4.74690248202e-06	9.9708832189e-06	-12706.0964621	-54161.4508023	94381.1655635	-49917.656406	-49942.9431329	-62623.7528681	0	0.00235442621194	9.38392190407e-06	nan
nan	7.34999647847e-05	0.00248927596417	0.000125799705871	0.000585027694521	-0.00241628058313	-2.84094780127e-05	3700	1.947604995e-09	4.74861113826e-06	1.02082933953e-05	-12922.169668	-54523.5495528	95025.4533003	-50218.5867376	-50211.3055151	-63140.7564057	0	0.00241983757075	2.64980398386e-05	nan
nan	7.40176180452e-05	0.00255723225492	0.000137944278141	0.00060200850697	-0.00248153056384	-2.91597016372e-05	3800	4.58581334449e-10	4.75059188244e-06	1.04523250198e-05	-13202.4477505	-54716.7074226	95382.7837744	-50312.7892357	-50322.0960459	-63515.2369863	0	0.00248524772529	6.19557000833e-06	nan
nan	7.2880621709e-05	0.00258396089	0.000171883662229	0.000642582388214	-0.00249687760254	-2.83718415994e-05	3900	5.1836043373e-10	4.75238481278e-06	1.08060722705e-05	-13128.3263344	-54170.9857892	94436.2077375	-49787.5622351	-49809.506563	-62915.8885695	0	0.00255065717097	7.11245899904e-06	nan
